日付,先発投手,先発捕手,投手責任,QS,HQS,投球回,失点,自責点,投球数,被安打,与四死球,奪三振,対戦相手,試合結果
5月27日(土),バウアー,伊藤 光,-,◎,×,6.0,2,2,90,7,0,7,中日,● 2-3
5月28日(日),大貫 晋一,戸柱 恭孝,○,◎,◎,8.2,1,1,117,4,1,7,中日,○ 3-1
5月30日(火),今永 昇太,戸柱 恭孝,○,◎,◎,9.0,2,2,122,5,2,9,楽天,○ 3-2
5月31日(水),石田 健大,戸柱 恭孝,-,×,×,5.0,1,1,97,4,5,4,楽天,● 1-3
6月1日(木),東 克樹,山本 祐大,○,◎,◎,7.0,1,0,108,5,1,7,楽天,○ 11-3
6月3日(土),バウアー,伊藤 光,○,◎,◎,8.0,2,2,109,3,3,10,西武,○ 6-2
6月4日(日),ガゼルマン,伊藤 光,-,×,×,5.1,4,4,102,9,3,4,西武,○ 5-4
6月5日(月),平良 拳太郎,伊藤 光,●,×,×,3.0,4,4,77,8,1,3,西武,● 4-6
6月6日(火),今永 昇太,戸柱 恭孝,-,◎,◎,8.0,1,1,114,1,2,8,ソフトバンク,● 1-2
6月7日(水),石田 健大,戸柱 恭孝,●,×,×,5.1,3,1,92,8,1,4,ソフトバンク,● 0-4
6月8日(木),東 克樹,山本 祐大,○,◎,×,7.0,3,3,86,6,2,4,ソフトバンク,○ 6-5
6月9日(金),バウアー,伊藤 光,○,◎,◎,7.0,2,1,108,5,4,9,オリックス,○ 4-2
6月10日(土),ガゼルマン,伊藤 光,●,×,×,5.0,4,3,100,8,3,2,オリックス,● 3-7
6月11日(日),大貫 晋一,戸柱 恭孝,○,◎,×,6.0,3,3,80,6,1,1,オリックス,○ 8-4
6月13日(火),今永 昇太,戸柱 恭孝,○,◎,◎,7.0,2,2,117,9,2,5,日本ハム,○ 5-3
6月14日(水),バウアー,伊藤 光,○,◎,◎,9.0,1,1,113,3,1,12,日本ハム,○ 2-1
6月16日(金),濵口 遥大,伊藤 光,●,×,×,4.2,3,3,97,2,6,4,ロッテ,● 2-5
6月17日(土),大貫 晋一,戸柱 恭孝,○,◎,×,6.0,1,1,96,6,0,4,ロッテ,○ 10-1
6月18日(日),石田 健大,戸柱 恭孝,-,×,×,5.0,1,1,82,1,3,7,ロッテ,○ 6-1
6月19日(月),上茶谷 大河,山本 祐大,-,×,×,4.0,0,0,58,3,1,5,日本ハム,● 3-4
6月23日(金),今永 昇太,戸柱 恭孝,○,◎,◎,9.0,1,1,126,6,2,10,阪神,○ 3-1
6月24日(土),東 克樹,山本 祐大,○,◎,◎,9.0,0,0,116,5,0,9,阪神,○ 2-0
6月25日(日),バウアー,伊藤 光,○,◎,×,6.1,3,3,114,7,4,7,阪神,○ 5-3
6月27日(火),大貫 晋一,戸柱 恭孝,-,×,×,5.2,2,2,99,5,1,4,広島,● 2-3
